Date,Open,High,Low,Close,Adj Close,Volume
2019-11-11,78.552002,78.987999,77.655800,78.552002,78.552002,0
2019-11-12,78.893997,78.984001,78.774002,78.893997,78.893997,0
2019-11-13,78.974998,79.343002,78.808998,78.978996,78.978996,0
2019-11-14,79.353996,79.392998,78.945999,79.353996,79.353996,0
2019-11-15,79.240997,79.294998,78.939003,79.225998,79.225998,0
2019-11-18,78.209999,79.681999,78.209999,79.114998,79.114998,0
2019-11-19,79.581001,79.651001,79.271004,79.581001,79.581001,0
2019-11-20,79.497002,79.503998,79.260002,79.497002,79.497002,0
2019-11-21,79.400002,79.556000,79.275002,79.403999,79.403999,0
2019-11-22,79.319000,79.469002,79.049004,79.315002,79.315002,0
2019-11-25,78.311302,79.024002,78.311302,79.047997,79.047997,0
2019-11-26,78.849998,78.875000,78.616997,78.857002,78.857002,0
2019-11-27,78.705002,78.705002,78.260002,78.709000,78.709000,0
2019-11-28,78.348999,78.851997,78.308998,78.337997,78.337997,0
2019-11-29,78.651001,79.052002,78.607002,78.657997,78.657997,0
2019-12-02,78.966003,79.380997,78.778000,78.978996,78.978996,0
2019-12-03,79.259003,79.512001,79.153000,79.259003,79.259003,0
2019-12-04,79.422997,79.490997,79.035004,79.421997,79.421997,0
2019-12-05,79.149002,79.324997,78.903999,79.149002,79.149002,0
2019-12-06,79.021004,79.254997,78.598000,79.028999,79.028999,0
2019-12-09,78.012299,78.658997,78.012299,78.760002,78.760002,0
2019-12-10,78.438004,78.557999,78.347000,78.445000,78.445000,0
2019-12-11,78.470001,78.547997,78.306999,78.470001,78.470001,0
2019-12-12,78.638000,78.940002,78.402000,78.638000,78.638000,0
2019-12-13,78.837997,79.169998,78.641998,78.852997,78.852997,0
2019-12-16,78.095001,79.099998,78.095001,78.644997,78.644997,0
2019-12-17,78.898003,79.196999,78.818001,78.891998,78.891998,0
2019-12-18,79.135002,79.135002,78.796997,79.135002,79.135002,0
2019-12-19,78.848000,79.194000,78.778999,78.839996,78.839996,0
2019-12-20,79.089996,79.142998,78.625999,79.097000,79.097000,0
2019-12-23,78.004898,79.001999,78.004898,78.624001,78.624001,0
2019-12-24,78.924004,78.966003,78.772003,78.917000,78.917000,0
2019-12-25,78.959000,78.959000,78.959000,78.959000,78.959000,0
2019-12-26,78.959000,78.959000,77.959900,78.959000,78.959000,0
2019-12-27,78.959000,79.777000,78.959000,78.959000,78.959000,0
2019-12-30,78.587402,79.976997,78.587402,79.777000,79.777000,0
2019-12-31,79.813004,80.150002,79.739998,79.813004,79.813004,0
2020-01-01,79.932999,79.932999,79.150002,79.932999,79.932999,0
2020-01-02,79.930000,79.930000,79.582001,79.930000,79.930000,0
2020-01-03,79.628998,80.152000,79.613998,79.622002,79.622002,0
2020-01-06,80.008003,80.601997,80.008003,80.001999,80.001999,0
2020-01-07,80.375000,80.392998,79.915001,80.375999,80.375999,0
2020-01-08,80.050003,80.334000,79.375000,80.049004,80.049004,0
2020-01-09,79.392998,79.435997,78.873001,79.386002,79.386002,0
2020-01-10,79.019997,79.079002,78.480003,79.033997,79.033997,0
2020-01-13,77.593903,78.825996,77.593903,77.593903,77.593903,0
