Date,Open,High,Low,Close,Adj Close,Volume
5/16/06,85.809998,86,85.330002,85.910004,85.910004,0
5/17/06,85.839996,86.129997,84.790001,84.959999,84.959999,0
5/18/06,84.970001,86.059998,84.900002,85.93,85.93,0
5/19/06,85.93,86.010002,84.849998,85.220001,85.220001,0
5/22/06,85.129997,85.699997,84.709999,85.379997,85.379997,0
5/23/06,85.339996,85.800003,85.07,85.110001,85.110001,0
5/24/06,85.120003,86.129997,84.989998,85.440002,85.440002,0
5/25/06,85.449997,85.919998,85.309998,85.839996,85.839996,0
5/26/06,85.699997,85.830002,84.860001,85.830002,85.830002,0
5/29/06,85.370003,85.769997,85.339996,85.529999,85.529999,0
5/30/06,85.510002,86.900002,85.470001,86.690002,86.690002,0
5/31/06,86.669998,87.419998,86.25,86.349998,86.349998,0
6/1/06,86.360001,86.360001,85.769997,86.040001,86.040001,0
6/2/06,86.040001,86.349998,85.510002,85.82,85.82,0
6/5/06,85.870003,86.360001,85.470001,85.470001,85.470001,0
6/6/06,85.400002,86.019997,85.18,85.290001,85.290001,0
6/7/06,85.300003,85.459999,84.769997,84.919998,84.919998,0
6/8/06,85.279999,85.279999,84.080002,84.309998,84.309998,0
6/9/06,84.339996,84.769997,84.269997,84.419998,84.419998,0
6/12/06,84.400002,84.589996,84.239998,84.389999,84.389999,0
6/13/06,84.349998,84.790001,84.139999,84.230003,84.230003,0
6/14/06,84.230003,84.739998,84.129997,84.5,84.5,0
6/15/06,84.519997,84.93,84.400002,84.739998,84.739998,0
6/16/06,84.940002,85.07,84.699997,84.849998,84.849998,0
6/19/06,84.529999,84.629997,84.169998,84.330002,84.330002,0
6/20/06,84.32,84.629997,84.220001,84.510002,84.510002,0
6/21/06,84.510002,84.68,84.379997,84.57,84.57,0
6/22/06,84.550003,84.849998,83.860001,83.940002,83.940002,0
6/23/06,83.940002,84.43,83.339996,83.529999,83.529999,0
6/26/06,83.559998,84.379997,83.5,84.330002,84.330002,0
6/27/06,84.360001,84.459999,84.120003,84.209999,84.209999,0
6/28/06,84.230003,84.360001,84.019997,84.129997,84.129997,0
6/29/06,84.139999,84.589996,83.690002,84.550003,84.550003,0
6/30/06,84.550003,84.940002,84.18,84.769997,84.769997,0
7/3/06,84.75,84.879997,84.459999,84.620003,84.620003,0
7/4/06,84.610001,84.860001,84.580002,84.639999,84.639999,0
7/5/06,84.650002,84.949997,84.199997,84.330002,84.330002,0
7/6/06,84.339996,84.739998,84.269997,84.389999,84.389999,0
7/7/06,84.400002,85,84.309998,84.830002,84.830002,0
7/10/06,84.82,85.169998,84.5,84.75,84.75,0
7/11/06,84.739998,85.199997,84.709999,85.099998,85.099998,0
7/12/06,85.089996,85.230003,84.279999,84.419998,84.419998,0
7/13/06,84.43,85.309998,84.349998,85.239998,85.239998,0
7/14/06,85.220001,85.459999,84.980003,85.209999,85.209999,0
7/17/06,85.050003,85.199997,84.410004,84.730003,84.730003,0
7/18/06,84.720001,85.489998,84.709999,84.959999,84.959999,0
7/19/06,84.959999,86.279999,84.889999,86.230003,86.230003,0
7/20/06,86.220001,86.580002,86.169998,86.449997,86.449997,0
7/21/06,86.440002,86.879997,86.360001,86.610001,86.610001,0
7/24/06,86.599998,86.900002,86.18,86.660004,86.660004,0
7/25/06,86.650002,86.830002,85.889999,85.989998,85.989998,0
7/26/06,85.989998,86.57,85.959999,86.540001,86.540001,0
7/27/06,86.519997,86.889999,86.339996,86.449997,86.449997,0
7/28/06,86.440002,86.949997,86.300003,86.519997,86.519997,0
7/31/06,86.760002,86.93,86.449997,86.68,86.68,0
8/1/06,86.690002,87.129997,86.459999,87.089996,87.089996,0
8/2/06,87.080002,87.389999,87.080002,87.330002,87.330002,0
8/3/06,87.349998,87.82,87.110001,87.610001,87.610001,0
8/4/06,87.620003,88.790001,87.550003,88.610001,88.610001,0
8/7/06,88.559998,88.860001,88.410004,88.540001,88.540001,0
8/8/06,88.550003,88.760002,88.080002,88.080002,88.080002,0
8/9/06,88.07,88.720001,88.040001,88.440002,88.440002,0
8/10/06,88.389999,88.550003,87.400002,87.720001,87.720001,0
8/11/06,87.730003,88.169998,87.650002,87.75,87.75,0
8/14/06,87.93,88.029999,87.620003,87.769997,87.769997,0
8/15/06,87.790001,88.089996,87.379997,87.970001,87.970001,0
