Date,Open,High,Low,Close,Adj Close,Volume
2020-02-04,0.769390,0.772560,0.766720,0.769380,0.769380,0
2020-02-05,0.767380,0.771690,0.765110,0.767300,0.767300,0
2020-02-06,0.769400,0.773750,0.769200,0.769400,0.769400,0
2020-02-07,0.773390,0.775190,0.771900,0.773380,0.773380,0
2020-02-10,0.775860,0.776750,0.772300,0.775700,0.775700,0
2020-02-11,0.774200,0.775430,0.771100,0.774100,0.774100,0
2020-02-12,0.771810,0.772000,0.769700,0.771810,0.771810,0
2020-02-13,0.771690,0.772480,0.765190,0.771750,0.771750,0
2020-02-14,0.766590,0.769000,0.765500,0.766470,0.766470,0
2020-02-17,0.766230,0.768970,0.766100,0.766110,0.766110,0
2020-02-18,0.768910,0.770860,0.766340,0.768700,0.768700,0
2020-02-19,0.769240,0.773510,0.767950,0.769100,0.769100,0
2020-02-20,0.773500,0.778120,0.773370,0.773500,0.773500,0
2020-02-21,0.776310,0.776420,0.770600,0.776200,0.776200,0
2020-02-24,0.772080,0.775860,0.771903,0.771980,0.771980,0
2020-02-25,0.773680,0.774200,0.768170,0.773600,0.773600,0
2020-02-26,0.769090,0.774400,0.768600,0.769030,0.769030,0
2020-02-27,0.774760,0.777450,0.772480,0.774780,0.774780,0
2020-02-28,0.775840,0.784040,0.774060,0.775860,0.775860,0
2020-03-02,0.780910,0.784810,0.778100,0.780820,0.780820,0
2020-03-03,0.783310,0.783710,0.778970,0.783260,0.783260,0
2020-03-04,0.779960,0.782990,0.778450,0.779980,0.779980,0
2020-03-05,0.776870,0.777500,0.772450,0.776700,0.776700,0
2020-03-06,0.772201,0.772201,0.766300,0.772160,0.772160,0
2020-03-09,0.763560,0.767080,0.757590,0.763400,0.763400,0
2020-03-10,0.764800,0.773130,0.764040,0.764800,0.764800,0
2020-03-11,0.774780,0.777880,0.770570,0.774610,0.774610,0
2020-03-12,0.780180,0.797260,0.778100,0.780140,0.780140,0
2020-03-13,0.795370,0.806410,0.792080,0.795530,0.795530,0
2020-03-16,0.806430,0.818140,0.806430,0.806460,0.806460,0
2020-03-17,0.815040,0.832690,0.814960,0.815220,0.815220,0
2020-03-18,0.825350,0.851320,0.824380,0.824970,0.824970,0
2020-03-19,0.861250,0.871320,0.848280,0.860190,0.860190,0
2020-03-20,0.869840,0.870920,0.838620,0.869990,0.869990,0
2020-03-23,0.861430,0.871060,0.853850,0.860360,0.860360,0
2020-03-24,0.862230,0.863280,0.848200,0.862400,0.862400,0
2020-03-25,0.848070,0.858580,0.835200,0.848030,0.848030,0
