Date,Open,High,Low,Close,Adj Close,Volume
2020-02-04,0.128765,0.128782,0.128707,0.128766,0.128766,0
2020-02-05,0.128744,0.128834,0.128743,0.128760,0.128760,0
2020-02-06,0.128808,0.128836,0.128792,0.128810,0.128810,0
2020-02-07,0.128810,0.128868,0.128760,0.128808,0.128808,0
2020-02-10,0.128770,0.128792,0.128752,0.128770,0.128770,0
2020-02-11,0.128768,0.128824,0.128763,0.128763,0.128763,0
2020-02-12,0.128780,0.128796,0.128685,0.128780,0.128780,0
2020-02-13,0.128722,0.128778,0.128694,0.128718,0.128718,0
2020-02-14,0.128757,0.128770,0.128725,0.128756,0.128756,0
2020-02-17,0.128750,0.128771,0.128728,0.128746,0.128746,0
2020-02-18,0.128737,0.128760,0.128697,0.128737,0.128737,0
2020-02-19,0.128723,0.128725,0.128668,0.128723,0.128723,0
2020-02-20,0.128655,0.128665,0.128467,0.128650,0.128650,0
2020-02-21,0.128523,0.128524,0.128317,0.128523,0.128523,0
2020-02-24,0.128335,0.128354,0.128249,0.128338,0.128338,0
2020-02-25,0.128328,0.128418,0.128319,0.128334,0.128334,0
2020-02-26,0.128375,0.128393,0.128290,0.128375,0.128375,0
2020-02-27,0.128324,0.128345,0.128238,0.128328,0.128328,0
2020-02-28,0.128298,0.128343,0.128227,0.128294,0.128294,0
2020-03-02,0.128322,0.128596,0.128289,0.128319,0.128319,0
2020-03-03,0.128513,0.128769,0.128467,0.128520,0.128520,0
2020-03-04,0.128685,0.128796,0.128655,0.128698,0.128698,0
2020-03-05,0.128671,0.128708,0.128643,0.128671,0.128671,0
2020-03-06,0.128687,0.128737,0.128612,0.128688,0.128688,0
2020-03-09,0.128710,0.128780,0.128642,0.128712,0.128712,0
2020-03-10,0.128684,0.128729,0.128649,0.128684,0.128684,0
2020-03-11,0.128733,0.128765,0.128703,0.128730,0.128730,0
2020-03-12,0.128730,0.128737,0.128434,0.128725,0.128725,0
2020-03-13,0.128594,0.128788,0.128518,0.128591,0.128591,0
2020-03-16,0.128814,0.128873,0.128699,0.128812,0.128812,0
2020-03-17,0.128768,0.128816,0.128695,0.128771,0.128771,0
2020-03-18,0.128822,0.128836,0.128724,0.128831,0.128831,0
2020-03-19,0.128803,0.128865,0.128740,0.128808,0.128808,0
2020-03-20,0.128837,0.128946,0.128823,0.128837,0.128837,0
2020-03-23,0.128891,0.128971,0.128888,0.128886,0.128886,0
2020-03-24,0.128934,0.128985,0.128927,0.128932,0.128932,0
2020-03-25,0.128986,0.129002,0.128934,0.128986,0.128986,0
2020-03-26,0.128985,0.129001,0.128955,0.128989,0.128989,0
2020-03-27,0.128997,0.129021,0.128979,0.128996,0.128996,0
2020-03-30,0.128995,0.129006,0.128951,0.129016,0.129016,0
2020-03-31,0.128964,0.129025,0.128949,0.128966,0.128966,0
2020-04-01,0.128999,0.129019,0.128969,0.129002,0.129002,0
2020-04-02,0.128999,0.129017,0.128982,0.129001,0.129001,0
2020-04-03,0.129009,0.129016,0.128958,0.129006,0.129006,0
2020-04-06,0.128983,0.129019,0.128962,0.128987,0.128987,0
2020-04-07,0.129007,0.129014,0.128976,0.129007,0.129007,0
2020-04-08,0.128996,0.129016,0.128986,0.128996,0.128996,0
2020-04-09,0.129006,0.129016,0.128944,0.129005,0.129005,0
2020-04-10,0.128982,0.129004,0.128974,0.128986,0.128986,0
2020-04-13,0.128987,0.129009,0.128980,0.129004,0.129004,0
2020-04-14,0.128997,0.129027,0.128984,0.128992,0.128992,0
2020-04-15,0.129007,0.129029,0.128999,0.129009,0.129009,0
2020-04-16,0.129015,0.129031,0.129006,0.129014,0.129014,0
2020-04-17,0.129019,0.129033,0.129000,0.129019,0.129019,0
2020-04-20,0.129021,0.129035,0.129014,0.129020,0.129020,0
2020-04-21,0.129029,0.129049,0.129025,0.129027,0.129027,0
2020-04-22,0.129034,0.129039,0.129027,0.129034,0.129034,0
2020-04-23,0.129032,0.129041,0.129011,0.129028,0.129028,0
2020-04-24,0.129021,0.129032,0.129009,0.129022,0.129022,0
2020-04-27,0.129027,0.129039,0.129017,0.129024,0.129024,0
2020-04-28,0.129022,0.129037,0.129011,0.129024,0.129024,0
2020-04-29,0.129023,0.129046,0.129017,0.129027,0.129027,0
2020-04-30,0.129031,0.129044,0.128994,0.129032,0.129032,0
2020-05-01,0.129006,0.129016,0.128991,0.129005,0.129005,0
2020-05-04,0.128996,0.129016,0.128951,0.128997,0.128997,0
2020-05-05,0.128978,0.129004,0.128939,0.128981,0.128981,0
